Date,Close
03/01/2012,23.95
04/01/2012,24.41
05/01/2012,24.19
06/01/2012,23.71
09/01/2012,22.67
10/01/2012,23.33
11/01/2012,23.95
12/01/2012,24.71
13/01/2012,24.08
17/01/2012,24.91
18/01/2012,24.79
19/01/2012,25.24
20/01/2012,25.2
23/01/2012,25
24/01/2012,24.91
25/01/2012,24.8
26/01/2012,24.95
27/01/2012,25.55
30/01/2012,25.38
31/01/2012,23.56
01/02/2012,24.38
02/02/2012,24.75
03/02/2012,25.43
06/02/2012,25.86
07/02/2012,25.92
08/02/2012,27.08
09/02/2012,26.06
10/02/2012,26.02
13/02/2012,26.43
14/02/2012,26.47
15/02/2012,26.36
16/02/2012,27.07
17/02/2012,27.22
21/02/2012,26.83
22/02/2012,26.53
23/02/2012,26.5
24/02/2012,26.62
27/02/2012,27.12
28/02/2012,26.74
29/02/2012,25.61
01/03/2012,26.18
02/03/2012,25.99
05/03/2012,25.89
06/03/2012,25.35
07/03/2012,25.77
08/03/2012,26.5
09/03/2012,26.6
12/03/2012,26.04
13/03/2012,27.09
14/03/2012,26.85
15/03/2012,27.19
16/03/2012,27.07
19/03/2012,26.74
20/03/2012,26.4
21/03/2012,26.79
22/03/2012,26.13
23/03/2012,26.8
26/03/2012,28.24
27/03/2012,28.13
28/03/2012,27.91
29/03/2012,27.25
30/03/2012,27.55
02/04/2012,28.7
03/04/2012,28.67
04/04/2012,27.68
05/04/2012,27.74
09/04/2012,27.25
10/04/2012,26.33
11/04/2012,26.75
12/04/2012,27.27
13/04/2012,26.73
16/04/2012,26.81
17/04/2012,27.85
18/04/2012,28.3
19/04/2012,28.11
20/04/2012,27.94
23/04/2012,27.44
24/04/2012,31.76
25/04/2012,31.83
26/04/2012,31.45
27/04/2012,31.96
30/04/2012,31.71
01/05/2012,32.1
02/05/2012,32.43
03/05/2012,32.31
04/05/2012,31.48
07/05/2012,31.6
08/05/2012,31.46
09/05/2012,31.44
10/05/2012,31.13
11/05/2012,30.8
14/05/2012,30.59
15/05/2012,31.25
16/05/2012,30.89
17/05/2012,30.32
18/05/2012,29.72
21/05/2012,31.21
22/05/2012,31.21
23/05/2012,31.23
24/05/2012,31.51
25/05/2012,31.85
29/05/2012,32.26
30/05/2012,31.4
31/05/2012,31.23
01/06/2012,29.57
04/06/2012,28.87
05/06/2012,30.1
06/06/2012,31.22
07/06/2012,30.32
08/06/2012,30.86
11/06/2012,30.21
12/06/2012,30.51
13/06/2012,31.1
14/06/2012,31.17
15/06/2012,31.74
18/06/2012,33.25
19/06/2012,34.73
20/06/2012,34.39
21/06/2012,32.81
22/06/2012,32.8
25/06/2012,31.93
26/06/2012,32.39
27/06/2012,32.41
28/06/2012,31.9
29/06/2012,33.46
02/07/2012,35.22
03/07/2012,35.04
05/07/2012,34.94
06/07/2012,34.2
09/07/2012,34.64
10/07/2012,33.59
11/07/2012,32.77
12/07/2012,31.58
13/07/2012,31.66
16/07/2012,30.98
17/07/2012,30.89
18/07/2012,30.86
19/07/2012,31.7
20/07/2012,34.18
23/07/2012,33.65
24/07/2012,33.16
25/07/2012,34.26
26/07/2012,35
27/07/2012,35.82
30/07/2012,34.34
31/07/2012,33.96
01/08/2012,33.57
02/08/2012,33.56
03/08/2012,34.3
06/08/2012,34.26
07/08/2012,35.29
08/08/2012,34.59
09/08/2012,34.72
10/08/2012,34.44
13/08/2012,34.04
14/08/2012,34.27
15/08/2012,34.25
16/08/2012,34.31
17/08/2012,34.67
20/08/2012,33.97
21/08/2012,34.07
22/08/2012,33.78
23/08/2012,32.4
24/08/2012,32.89
27/08/2012,32.82
28/08/2012,33.6
29/08/2012,33.99
30/08/2012,33.83
31/08/2012,33.95
04/09/2012,35.18
05/09/2012,35.64
06/09/2012,37.37
07/09/2012,37.92
10/09/2012,37.48
11/09/2012,38.1
12/09/2012,38.51
13/09/2012,39.17
14/09/2012,38.22
17/09/2012,37.55
18/09/2012,37.46
19/09/2012,37.03
20/09/2012,36.52
21/09/2012,37.83
24/09/2012,37.33
25/09/2012,37.23
26/09/2012,36.73
27/09/2012,37.57
28/09/2012,36.97
01/10/2012,38
02/10/2012,38.16
03/10/2012,38.12
04/10/2012,38.9
05/10/2012,38.14
08/10/2012,38.09
09/10/2012,37.03
10/10/2012,36.57
11/10/2012,36.9
12/10/2012,36.56
15/10/2012,36.87
16/10/2012,38.27
17/10/2012,35.41
18/10/2012,28.18
19/10/2012,27.68
22/10/2012,27.59
23/10/2012,26.92
24/10/2012,26.88
25/10/2012,26.49
26/10/2012,26.09
31/10/2012,26.57
01/11/2012,26.42
02/11/2012,25.98
05/11/2012,26.21
06/11/2012,26.03
07/11/2012,25.69
08/11/2012,26.23
09/11/2012,25.88
12/11/2012,26.51
13/11/2012,26.42
14/11/2012,25.65
15/11/2012,25.39
16/11/2012,26.12
19/11/2012,26.71
20/11/2012,26.72
21/11/2012,26.87
23/11/2012,27.41
26/11/2012,26.99
27/11/2012,26.9
28/11/2012,26.8
29/11/2012,27.47
30/11/2012,27.39
03/12/2012,27.06
04/12/2012,26.53
05/12/2012,26.14
06/12/2012,25.64
07/12/2012,25.51
10/12/2012,26.2
11/12/2012,26.79
12/12/2012,26.74
13/12/2012,26.38
14/12/2012,26.36
17/12/2012,26.53
18/12/2012,27.18
19/12/2012,27.63
20/12/2012,28.18
21/12/2012,28.4
24/12/2012,28
26/12/2012,27.39
27/12/2012,27.5
28/12/2012,27.07
31/12/2012,27.75
02/01/2013,28.4
03/01/2013,29.17
04/01/2013,29.31
07/01/2013,28.94
08/01/2013,28.25
09/01/2013,27.3
10/01/2013,26.89
11/01/2013,25.87
14/01/2013,26.64
15/01/2013,26.34
16/01/2013,26
17/01/2013,26.48
18/01/2013,26.64
22/01/2013,27.42
23/01/2013,27.09
24/01/2013,27.82
25/01/2013,28.59
28/01/2013,28.58
29/01/2013,28.77
30/01/2013,29.27
31/01/2013,31.36
01/02/2013,31.9
04/02/2013,32.12
05/02/2013,32.31
06/02/2013,32.25
07/02/2013,32.24
08/02/2013,32.73
11/02/2013,33.03
12/02/2013,33.02
13/02/2013,32.75
14/02/2013,32.56
15/02/2013,32.73
19/02/2013,32.6
20/02/2013,31.73
21/02/2013,31.41
22/02/2013,31.88
25/02/2013,31.2
26/02/2013,31.05
27/02/2013,31.47
28/02/2013,31.44
01/03/2013,31.13
04/03/2013,30.99
05/03/2013,31.8
06/03/2013,32.44
07/03/2013,32.72
08/03/2013,33.29
11/03/2013,33.53
12/03/2013,32.96
13/03/2013,32.88
14/03/2013,33.29
15/03/2013,33.04
18/03/2013,32.37
19/03/2013,32.29
20/03/2013,32.6
21/03/2013,32.03
22/03/2013,32.63
25/03/2013,32.87
26/03/2013,33.6
27/03/2013,33.32
28/03/2013,33.51
01/04/2013,32.44
02/04/2013,31.85
03/04/2013,30.95
04/04/2013,31.5
05/04/2013,31.04
08/04/2013,31.68
09/04/2013,31.88
10/04/2013,32.63
11/04/2013,32.86
12/04/2013,32.76
15/04/2013,31.2
16/04/2013,31.8
17/04/2013,30.78
18/04/2013,30.13
19/04/2013,31.5
22/04/2013,32
23/04/2013,31.99
24/04/2013,32.04
25/04/2013,32.25
26/04/2013,32.34
29/04/2013,32.93
30/04/2013,33.12
01/05/2013,32.65
02/05/2013,32.4
03/05/2013,32.6
06/05/2013,34.42
07/05/2013,35.63
08/05/2013,35.91
09/05/2013,35.68
10/05/2013,36.87
13/05/2013,37.07
14/05/2013,36.28
15/05/2013,36.22
16/05/2013,36.85
17/05/2013,37.59
20/05/2013,37.8
21/05/2013,38.16
22/05/2013,37.3
23/05/2013,36.98
24/05/2013,36.7
28/05/2013,36.45
29/05/2013,35.97
30/05/2013,36.18
31/05/2013,35.75
03/06/2013,36.85
04/06/2013,35.88
05/06/2013,35.38
06/06/2013,35.19
07/06/2013,35.45
10/06/2013,35.29
11/06/2013,34.77
12/06/2013,34.22
13/06/2013,34.67
14/06/2013,35.02
17/06/2013,35.87
18/06/2013,36.25
19/06/2013,36.1
20/06/2013,35.48
21/06/2013,35.84
24/06/2013,35.77
25/06/2013,35.41
26/06/2013,35.78
27/06/2013,36.69
28/06/2013,37.04
01/07/2013,37.79
02/07/2013,37.3
03/07/2013,37.78
05/07/2013,38.39
08/07/2013,38.42
09/07/2013,38.88
10/07/2013,39.19
11/07/2013,39.4
12/07/2013,39.2
15/07/2013,38.7
16/07/2013,38.19
17/07/2013,38.92
18/07/2013,39.65
19/07/2013,42.95
22/07/2013,44
23/07/2013,44
24/07/2013,43.43
25/07/2013,43.88
26/07/2013,42.75
29/07/2013,42.34
30/07/2013,42.45
31/07/2013,43.04
01/08/2013,43.99
02/08/2013,43.61
05/08/2013,44.42
06/08/2013,44.27
07/08/2013,43.83
08/08/2013,44.08
09/08/2013,43.9
12/08/2013,44.44
13/08/2013,44.77
14/08/2013,44.38
15/08/2013,43.16
16/08/2013,42.96
19/08/2013,42.86
20/08/2013,43.61
21/08/2013,43.55
22/08/2013,44.36
23/08/2013,44.51
26/08/2013,44.45
27/08/2013,43.62
28/08/2013,43.13
29/08/2013,43.79
30/08/2013,43.55
03/09/2013,44.37
04/09/2013,44.72
05/09/2013,44.83
06/09/2013,44.85
09/09/2013,46.71
10/09/2013,47.03
11/09/2013,47.51
12/09/2013,47.12
13/09/2013,46.81
16/09/2013,46.25
17/09/2013,47.96
18/09/2013,48.25
19/09/2013,47.67
20/09/2013,47.59
23/09/2013,47.45
24/09/2013,47.48
25/09/2013,47.42
26/09/2013,48.08
27/09/2013,47.78
30/09/2013,48.1
01/10/2013,49.26
02/10/2013,48.87
03/10/2013,47.87
04/10/2013,45.8
07/10/2013,45.02
08/10/2013,44.03
09/10/2013,44.02
10/10/2013,42.52
