Date,Close
03/01/2012,29.26
04/01/2012,30.01
05/01/2012,31.1
06/01/2012,30.88
09/01/2012,31.71
10/01/2012,32.16
11/01/2012,30.77
12/01/2012,30.87
13/01/2012,30.64
17/01/2012,30.56
18/01/2012,31.45
19/01/2012,31.71
20/01/2012,31.73
23/01/2012,31.15
24/01/2012,30.97
25/01/2012,31.41
26/01/2012,31
27/01/2012,31.14
30/01/2012,30.9
31/01/2012,31.06
01/02/2012,33.36
02/02/2012,33.98
03/02/2012,34.35
06/02/2012,32.91
07/02/2012,32.85
08/02/2012,32.4
09/02/2012,32.04
10/02/2012,32.23
13/02/2012,33.25
14/02/2012,32.27
15/02/2012,31.86
16/02/2012,32.65
17/02/2012,32.32
21/02/2012,32.05
22/02/2012,30.53
23/02/2012,33.46
24/02/2012,33.07
27/02/2012,33.45
28/02/2012,33.4
29/02/2012,33.12
01/03/2012,33.83
02/03/2012,34.3
05/03/2012,34.59
06/03/2012,34.8
07/03/2012,34.97
08/03/2012,35.72
09/03/2012,35.86
12/03/2012,35.9
13/03/2012,36.95
14/03/2012,35.65
15/03/2012,35.2
16/03/2012,35.94
19/03/2012,36.5
20/03/2012,36.41
21/03/2012,34.92
22/03/2012,36.32
23/03/2012,37.06
26/03/2012,37.53
27/03/2012,37.43
28/03/2012,37.79
29/03/2012,37.5
30/03/2012,37.29
02/04/2012,37.65
03/04/2012,37.55
04/04/2012,36.98
05/04/2012,37.45
09/04/2012,36.62
10/04/2012,36.21
11/04/2012,36.39
12/04/2012,35.93
13/04/2012,35.71
16/04/2012,36.77
17/04/2012,36.45
18/04/2012,36.12
19/04/2012,36.47
20/04/2012,36.41
23/04/2012,35.75
24/04/2012,36.05
25/04/2012,35.39
26/04/2012,35.02
27/04/2012,34.75
30/04/2012,34.31
01/05/2012,34.44
02/05/2012,33.69
03/05/2012,33.57
04/05/2012,33.12
07/05/2012,32.8
08/05/2012,32.43
09/05/2012,32.15
10/05/2012,32.09
11/05/2012,32.08
14/05/2012,31.49
15/05/2012,32.39
16/05/2012,32.25
17/05/2012,32
18/05/2012,31.99
21/05/2012,32.11
22/05/2012,31.87
23/05/2012,32.36
24/05/2012,31.83
25/05/2012,32.27
29/05/2012,32.44
30/05/2012,32.33
31/05/2012,32.29
01/06/2012,30.64
04/06/2012,30.32
05/06/2012,30.36
06/06/2012,31
07/06/2012,30.76
08/06/2012,30.93
11/06/2012,30.12
12/06/2012,30.2
13/06/2012,30.63
14/06/2012,29
15/06/2012,28.91
18/06/2012,28.41
19/06/2012,28.37
20/06/2012,28.12
21/06/2012,27.14
22/06/2012,27.33
25/06/2012,26.83
26/06/2012,26.92
27/06/2012,26.83
28/06/2012,26.22
29/06/2012,26.64
02/07/2012,26.88
03/07/2012,27.1
05/07/2012,27.43
06/07/2012,27.41
09/07/2012,28.12
10/07/2012,28
11/07/2012,28.25
12/07/2012,28.52
13/07/2012,29.15
16/07/2012,28.8
17/07/2012,28.88
18/07/2012,29.29
19/07/2012,30.09
20/07/2012,29.21
23/07/2012,28.86
24/07/2012,28.6
25/07/2012,30.35
26/07/2012,31.3
27/07/2012,31.34
30/07/2012,30.86
31/07/2012,30.22
01/08/2012,30
02/08/2012,30.38
03/08/2012,32.58
06/08/2012,32.84
07/08/2012,32.77
08/08/2012,32.87
09/08/2012,33
10/08/2012,33.24
13/08/2012,31.77
14/08/2012,31.48
15/08/2012,31.74
16/08/2012,32.93
17/08/2012,32.62
20/08/2012,32.31
21/08/2012,32.31
22/08/2012,32.35
23/08/2012,31.69
24/08/2012,31.68
27/08/2012,31.98
28/08/2012,32.35
29/08/2012,32.68
30/08/2012,32.41
31/08/2012,32.57
04/09/2012,33.63
05/09/2012,34
06/09/2012,30.4
07/09/2012,28.89
10/09/2012,29.18
11/09/2012,29.81
12/09/2012,30.02
13/09/2012,30.16
14/09/2012,30.56
17/09/2012,30.55
18/09/2012,30.62
19/09/2012,31.33
20/09/2012,30.98
21/09/2012,30.86
24/09/2012,30.89
25/09/2012,32.38
26/09/2012,30.5
27/09/2012,31.58
28/09/2012,31.61
01/10/2012,31.36
02/10/2012,31.77
03/10/2012,31.29
04/10/2012,31.62
05/10/2012,31.79
08/10/2012,31.68
09/10/2012,31.22
10/10/2012,31.41
11/10/2012,31.59
12/10/2012,31.19
15/10/2012,31.64
16/10/2012,32
17/10/2012,31.89
18/10/2012,31.56
19/10/2012,30.9
22/10/2012,31.16
23/10/2012,31.06
24/10/2012,30.81
25/10/2012,30.77
26/10/2012,31
31/10/2012,31.24
01/11/2012,31.52
02/11/2012,31.03
05/11/2012,31.23
06/11/2012,31.59
07/11/2012,30.95
08/11/2012,30.77
09/11/2012,30.21
12/11/2012,29.97
13/11/2012,29.96
14/11/2012,29
15/11/2012,29
16/11/2012,29.52
19/11/2012,29.96
20/11/2012,29.73
