Date,Close
03/01/2012,28.96
04/01/2012,29.78
05/01/2012,29.93
06/01/2012,29.63
09/01/2012,29.47
10/01/2012,31.41
11/01/2012,31.27
12/01/2012,31.25
13/01/2012,31.09
17/01/2012,31.84
18/01/2012,34.77
19/01/2012,34.69
20/01/2012,34.48
23/01/2012,33.72
24/01/2012,33.97
25/01/2012,34.77
26/01/2012,37.87
27/01/2012,38.43
30/01/2012,38.31
31/01/2012,38.24
01/02/2012,38.49
02/02/2012,38.48
03/02/2012,40.34
06/02/2012,41.23
07/02/2012,40.83
08/02/2012,41.48
09/02/2012,40.76
10/02/2012,40.11
13/02/2012,41.27
14/02/2012,41.19
15/02/2012,40.41
16/02/2012,41.25
17/02/2012,40.68
21/02/2012,39.5
22/02/2012,41.15
23/02/2012,42
24/02/2012,42.89
27/02/2012,43.25
28/02/2012,42.22
29/02/2012,41.68
01/03/2012,42.51
02/03/2012,43.3
05/03/2012,42.41
06/03/2012,41.36
07/03/2012,42.46
08/03/2012,43.26
09/03/2012,42.88
12/03/2012,42.27
13/03/2012,43.14
14/03/2012,42.84
15/03/2012,43.26
16/03/2012,42.58
19/03/2012,42.07
20/03/2012,41.07
21/03/2012,42.32
22/03/2012,41.6
23/03/2012,41.39
26/03/2012,42.09
27/03/2012,42.15
28/03/2012,42.38
29/03/2012,42.82
30/03/2012,42.89
02/04/2012,44.25
03/04/2012,44.89
04/04/2012,43.39
05/04/2012,42.85
09/04/2012,41.5
10/04/2012,38.61
11/04/2012,39.08
12/04/2012,40.65
13/04/2012,40.3
16/04/2012,40.3
17/04/2012,40.91
18/04/2012,45.75
19/04/2012,45.15
20/04/2012,45.16
23/04/2012,44.37
24/04/2012,44.67
25/04/2012,45.99
26/04/2012,44.95
27/04/2012,46.82
30/04/2012,46.68
01/05/2012,44.8
02/05/2012,45.14
03/05/2012,43.75
04/05/2012,42.21
07/05/2012,42.77
08/05/2012,42.11
09/05/2012,42.44
10/05/2012,43.1
11/05/2012,43.41
14/05/2012,40.91
15/05/2012,39.19
16/05/2012,37.98
17/05/2012,33.89
18/05/2012,33.05
21/05/2012,35.92
22/05/2012,35.65
23/05/2012,35.65
24/05/2012,36.36
25/05/2012,36.66
29/05/2012,38.41
30/05/2012,36.68
31/05/2012,34.55
01/06/2012,31.11
04/06/2012,30.16
05/06/2012,31.91
06/06/2012,32.6
07/06/2012,33.44
08/06/2012,32.55
11/06/2012,30.18
12/06/2012,32.3
13/06/2012,31.67
14/06/2012,33.06
15/06/2012,34.81
18/06/2012,34.79
19/06/2012,36.93
20/06/2012,35.33
21/06/2012,34.13
22/06/2012,33.43
25/06/2012,31.57
26/06/2012,31.74
27/06/2012,31.42
28/06/2012,32.14
29/06/2012,34.04
02/07/2012,33.87
